channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
T5,relative_beta_power,36,29,0.004667751135356311,0.004435747629031539,0.006363908053729041,0.005925293080508709,-0.0016961569183727302,242.0,0.00022557678629854622,-0.5363984674329502,0.0008333809049362957,True
T5,relative_delta_power,36,29,0.9025026758511862,0.9114184677600861,0.8687153253062018,0.8786643743515015,0.033787350544984385,753.0,0.002351206007004961,0.44252873563218387,0.005685643616939269,True
T5,relative_theta_power,36,29,0.06354873451507753,0.05831991322338581,0.05516208772515428,0.052341412752866745,0.00838664678992325,740.0,0.004100793010766143,0.4176245210727969,0.00879686242632092,True
T5,slow_fast_ratio,36,29,53.80128078990512,56.28170967102051,29.447026844682366,25.5894775390625,24.354253945222755,849.0,1.6417764936466683e-05,0.6264367816091954,0.00025751154742818274,True
T5,theta_alpha_ratio,36,29,3.375964879989624,3.7733601331710815,1.6065737399561653,1.312238335609436,1.7693911400334588,894.0,9.457229284513203e-07,0.7126436781609196,6.28905747420128e-05,True
T6,delta_alpha_ratio,36,29,63.177516036563446,68.62953186035156,37.727938158758754,30.088327407836914,25.449577877804693,806.0,0.00018307751614048264,0.5440613026819923,0.0008116436548894731,True
T6,relative_alpha_power,36,29,0.031399319517529674,0.01997385360300541,0.058672400384113706,0.05690690502524376,-0.027273080866584032,223.0,8.173920331119775e-05,-0.5727969348659003,0.0005776856463289168,True
T6,relative_beta_power,36,29,0.0046641311168463696,0.004178861156105995,0.005802235822996189,0.005408022552728653,-0.0011381047061498192,281.0,0.0015044243648216504,-0.4616858237547893,0.004083437561658765,True
T6,relative_delta_power,36,29,0.9008318997091718,0.9077209234237671,0.8818612098693848,0.8870233297348022,0.018970689839787003,702.0,0.017844725949233798,0.3448275862068966,0.032511623989699936,True
T6,relative_theta_power,36,29,0.06310460312912862,0.05874500423669815,0.053664200393290354,0.05211956053972244,0.009440402735838266,775.0,0.0008616533204048856,0.4846743295019158,0.0024913019916054297,True
T6,slow_fast_ratio,36,29,52.79952618810866,54.97721862792969,31.92903028685471,27.770606994628906,20.870495901253946,819.0,9.12135231045658e-05,0.5689655172413792,0.0005776856463289168,True
T6,theta_alpha_ratio,36,29,3.3075475146373114,3.389480710029602,1.6757837821697366,1.4194096326828003,1.631763732467575,865.0,6.1868375802057775e-06,0.657088122605364,0.00015529828835103627,True
